gender|cp|occupation_id|age_id|occupation|age_range
M|40205|4|18|college/grad student|18-24
M|22903|4|25|college/grad student|25-34
M|81301|10|1|K-12 student|Under 18
M|53711|1|25|academic/educator|25-34
F|49321|20|18|writer|18-24
M|18104|4|25|college/grad student|25-34
M|12203|15|25|scientist|25-34
M|10028|2|50|artist|50-55
F|01234|13|56|retired|56+
M|12230|6|25|doctor/health care|25-34
F|54401|6|45|doctor/health care|45-49
M|49506|20|18|writer|18-24
M|19123|2|35|artist|35-44
M|37343|7|45|executive/managerial|45-49
M|39567|17|50|technician/engineer|50-55
M|94041|17|35|technician/engineer|35-44
F|06360|0|18|other or not specified|18-24
M|98312|4|18|college/grad student|18-24
M|98502|1|35|academic/educator|35-44
M|97801|10|1|K-12 student|Under 18
M|97209|19|25|unemployed|25-34
M|98541|1|50|academic/educator|50-55
F|94607|1|18|academic/educator|18-24
M|33334|16|45|self-employed|45-49
M|98125|4|35|college/grad student|35-44
M|92630|17|35|technician/engineer|35-44
F|94611|7|50|executive/managerial|50-55
F|92867|19|35|unemployed|35-44
M|78750|6|45|doctor/health care|45-49
M|91504|0|35|other or not specified|35-44
F|10011|0|35|other or not specified|35-44
M|94904|7|25|executive/managerial|25-34
M|60074|5|25|customer service|25-34
F|11217|20|50|writer|50-55
F|90036|6|35|doctor/health care|35-44
M|75244|0|1|other or not specified|Under 18
M|92109|7|25|executive/managerial|25-34
M|33615|6|35|doctor/health care|35-44
M|02038|14|25|sales/marketing|25-34
M|97201|10|1|K-12 student|Under 18
F|10475|2|25|artist|25-34
M|85282|4|18|college/grad student|18-24
M|94111|19|25|unemployed|25-34
M|97203|14|25|sales/marketing|25-34
M|94121|20|45|writer|45-49
M|64068|3|25|clerical/admin|25-34
M|75703|13|56|retired|56+
M|75082|10|1|K-12 student|Under 18
M|76051|14|25|sales/marketing|25-34
M|92866|0|45|other or not specified|45-49
M|90274|10|18|K-12 student|18-24
M|60153|14|25|sales/marketing|25-34
M|43214|4|18|college/grad student|18-24
F|68154|4|18|college/grad student|18-24
M|75214|7|35|executive/managerial|35-44
M|50310|2|50|artist|50-55
M|98028|7|45|executive/managerial|45-49
M|94014|16|18|self-employed|18-24
F|98626|3|25|clerical/admin|25-34
M|22030|4|25|college/grad student|25-34
F|34639|14|25|sales/marketing|25-34
M|94043|0|56|other or not specified|56+
F|11218|2|35|artist|35-44
M|07030|16|35|self-employed|35-44
M|75230|1|25|academic/educator|25-34
F|98115|0|25|other or not specified|25-34
M|12159|10|1|K-12 student|Under 18
M|60657|14|35|sales/marketing|35-44
M|60194|14|18|sales/marketing|18-24
M|95117|1|56|academic/educator|56+
M|12065|0|45|other or not specified|45-49
M|02840|7|25|executive/managerial|25-34
M|06460|17|25|technician/engineer|25-34
M|10805|7|50|executive/managerial|50-55
M|14228|0|35|other or not specified|35-44
F|95051|20|50|writer|50-55
M|97146|17|56|technician/engineer|56+
M|94108|0|25|other or not specified|25-34
M|85275|18|35|tradesman/craftsman|35-44
M|14302|7|25|executive/managerial|25-34
M|11434|7|18|executive/managerial|18-24
M|94560|0|35|other or not specified|35-44
M|91324|14|35|sales/marketing|35-44
F|43420|9|25|homemaker|25-34
F|75070|2|25|artist|25-34
M|27607|20|35|writer|35-44
F|11375|1|18|academic/educator|18-24
F|04240|10|1|K-12 student|Under 18
M|13088|7|50|executive/managerial|50-55
F|90278|0|35|other or not specified|35-44
F|98034|17|25|technician/engineer|25-34
M|94122|20|35|writer|35-44
M|95926|10|1|K-12 student|Under 18
F|94040|2|25|artist|25-34
F|04240|20|45|writer|45-49
F|91706|4|18|college/grad student|18-24
M|34116|0|45|other or not specified|45-49
M|49508|17|35|technician/engineer|35-44
M|10918|1|35|academic/educator|35-44
M|14895|20|25|writer|25-34
F|97401|0|25|other or not specified|25-34
M|75069|12|35|programmer|35-44
M|01915|7|50|executive/managerial|50-55
F|97214|2|45|artist|45-49
F|61665|10|1|K-12 student|Under 18
M|89509|10|1|K-12 student|Under 18
M|53707|12|25|programmer|25-34
F|50266|3|25|clerical/admin|25-34
M|12308|5|25|customer service|25-34
M|92821|2|35|artist|35-44
F|60657|2|50|artist|50-55
M|95123|10|1|K-12 student|Under 18
F|55104|1|25|academic/educator|25-34
M|91403|1|50|academic/educator|50-55
F|95136|5|45|customer service|45-49
F|32750|1|45|academic/educator|45-49
M|65270|16|35|self-employed|35-44
F|21044|7|45|executive/managerial|45-49
F|93448|13|56|retired|56+
M|58078|10|1|K-12 student|Under 18
M|89170|11|18|lawyer|18-24
F|92100|1|45|academic/educator|45-49
F|19806|7|25|executive/managerial|25-34
M|98058|10|18|K-12 student|18-24
F|90262|5|25|customer service|25-34
F|07026|0|25|other or not specified|25-34
F|94702|13|50|retired|50-55
M|87107|20|56|writer|56+
M|19801|17|25|technician/engineer|25-34
M|99352|16|35|self-employed|35-44
M|20723|15|35|scientist|35-44
M|90006|3|45|clerical/admin|45-49
M|06430|4|18|college/grad student|18-24
F|94117|3|25|clerical/admin|25-34
M|07026|2|25|artist|25-34
F|94530|12|25|programmer|25-34
M|55901|7|35|executive/managerial|35-44
F|94904|16|56|self-employed|56+
M|10804|17|18|technician/engineer|18-24
M|92130|7|25|executive/managerial|25-34
F|94578|1|18|academic/educator|18-24
M|90601|4|18|college/grad student|18-24
F|53713|0|25|other or not specified|25-34
M|91360|16|50|self-employed|50-55
M|33445|13|56|retired|56+
M|91911|4|25|college/grad student|25-34
F|53704|15|35|scientist|35-44
M|90046|0|25|other or not specified|25-34
M|97215|4|18|college/grad student|18-24
M|94404|7|50|executive/managerial|50-55
M|08107|1|35|academic/educator|35-44
M|94089|17|25|technician/engineer|25-34
M|98122|3|18|clerical/admin|18-24
M|85035|4|18|college/grad student|18-24
M|22901|14|45|sales/marketing|45-49
M|98101|14|25|sales/marketing|25-34
M|10472|16|35|self-employed|35-44
M|48197|4|18|college/grad student|18-24
F|95336|1|25|academic/educator|25-34
M|01375|4|18|college/grad student|18-24
F|53704|10|1|K-12 student|Under 18
M|55934|17|35|technician/engineer|35-44
M|08540|4|25|college/grad student|25-34
M|28209|0|35|other or not specified|35-44
M|08872|10|1|K-12 student|Under 18
M|94070|14|18|sales/marketing|18-24
M|21401|12|25|programmer|25-34
F|40204|11|45|lawyer|45-49
F|11229|3|35|clerical/admin|35-44
M|97215|4|18|college/grad student|18-24
M|91011|6|56|doctor/health care|56+
M|94549|1|35|academic/educator|35-44
F|49505|14|18|sales/marketing|18-24
F|495321|10|1|K-12 student|Under 18
M|48103|14|25|sales/marketing|25-34
F|97005|6|50|doctor/health care|50-55
M|89102|3|50|clerical/admin|50-55
M|21222|2|18|artist|18-24
M|98037|3|35|clerical/admin|35-44
M|94520|12|35|programmer|35-44
M|54729|16|35|self-employed|35-44
M|12345|2|18|artist|18-24
M|98055|2|35|artist|35-44
F|91106|4|25|college/grad student|25-34
M|98109|2|25|artist|25-34
M|10128|12|35|programmer|35-44
M|80521|4|18|college/grad student|18-24
F|17522|3|25|clerical/admin|25-34
M|17112|20|35|writer|35-44
M|94704|4|18|college/grad student|18-24
M|90012|20|35|writer|35-44
F|90732|13|56|retired|56+
M|19444|14|25|sales/marketing|25-34
M|93117|4|18|college/grad student|18-24
F|92126|0|45|other or not specified|45-49
M|98074|2|25|artist|25-34
M|95472|1|25|academic/educator|25-34
M|08055|0|1|other or not specified|Under 18
F|80027|0|25|other or not specified|25-34
F|95132|4|18|college/grad student|18-24
F|94115|0|45|other or not specified|45-49
M|95405|16|35|self-employed|35-44
M|92612-3417|16|50|self-employed|50-55
M|75063|12|35|programmer|35-44
M|93003|16|50|self-employed|50-55
M|29201|4|18|college/grad student|18-24
M|97007|5|25|customer service|25-34
M|19147|14|1|sales/marketing|Under 18
M|95420|20|56|writer|56+
M|94118|4|18|college/grad student|18-24
M|11106|17|25|technician/engineer|25-34
M|90248|7|25|executive/managerial|25-34
M|06511|14|25|sales/marketing|25-34
M|98115|4|25|college/grad student|25-34
F|75075|2|25|artist|25-34
F|91030|0|18|other or not specified|18-24
F|90601|1|45|academic/educator|45-49
M|92620|10|1|K-12 student|Under 18
F|94501|2|50|artist|50-55
M|91367|20|25|writer|25-34
M|77096|17|35|technician/engineer|35-44
M|94132|7|25|executive/managerial|25-34
M|54481|4|18|college/grad student|18-24
M|07054|12|25|programmer|25-34
F|80538|9|25|homemaker|25-34
M|90638|16|25|self-employed|25-34
M|07644|7|35|executive/managerial|35-44
M|94538|7|25|executive/managerial|25-34
F|60201|2|35|artist|35-44
M|90505|7|50|executive/managerial|50-55
M|06511|4|18|college/grad student|18-24
M|98102|12|25|programmer|25-34
F|60657|14|25|sales/marketing|25-34
M|38104|17|25|technician/engineer|25-34
M|77341|0|18|other or not specified|18-24
M|94108|17|25|technician/engineer|25-34
M|80220|5|50|customer service|50-55
M|02139|4|18|college/grad student|18-24
M|19343|10|1|K-12 student|Under 18
M|98115|17|25|technician/engineer|25-34
M|75801|11|25|lawyer|25-34
M|12188|4|18|college/grad student|18-24
M|92688|12|25|programmer|25-34
M|22030|19|18|unemployed|18-24
M|90041|11|50|lawyer|50-55
M|08550|7|25|executive/managerial|25-34
M|95476|17|35|technician/engineer|35-44
F|94539|10|1|K-12 student|Under 18
M|11803|0|1|other or not specified|Under 18
F|48067|1|25|academic/educator|25-34
M|08902|12|35|programmer|35-44
M|11102|20|25|writer|25-34
F|95003|16|35|self-employed|35-44
M|97215|4|18|college/grad student|18-24
M|48324|16|25|self-employed|25-34
F|53154|12|25|programmer|25-34
M|10002|0|18|other or not specified|18-24
M|95831|2|25|artist|25-34
M|38120|4|18|college/grad student|18-24
M|94506|17|25|technician/engineer|25-34
F|08902|7|25|executive/managerial|25-34
M|10025|20|35|writer|35-44
M|95209|17|25|technician/engineer|25-34
M|06459|4|18|college/grad student|18-24
F|94706|16|25|self-employed|25-34
M|80538|17|56|technician/engineer|56+
M|78230|10|18|K-12 student|18-24
M|94903|15|25|scientist|25-34
M|97266|4|18|college/grad student|18-24
M|53711|4|25|college/grad student|25-34
M|60462|17|45|technician/engineer|45-49
M|43613|14|18|sales/marketing|18-24
M|71711|1|45|academic/educator|45-49
M|12184|12|50|programmer|50-55
F|90036|20|18|writer|18-24
F|83001|3|35|clerical/admin|35-44
M|02446|20|18|writer|18-24
M|22601|3|25|clerical/admin|25-34
M|02359|3|25|clerical/admin|25-34
M|97214|0|45|other or not specified|45-49
M|23464-3016|17|56|technician/engineer|56+
M|12054|17|18|technician/engineer|18-24
M|10549|11|25|lawyer|25-34
M|63146|12|25|programmer|25-34
M|20009|20|25|writer|25-34
M|22903|4|25|college/grad student|25-34
M|02115|13|56|retired|56+
M|53703|1|35|academic/educator|35-44
M|20901|6|35|doctor/health care|35-44
M|11580|4|18|college/grad student|18-24
M|20008|11|25|lawyer|25-34
M|10021|20|45|writer|45-49
F|64116|15|25|scientist|25-34
F|17013|12|35|programmer|35-44
F|20008|0|18|other or not specified|18-24
M|48073|4|18|college/grad student|18-24
F|10039|4|18|college/grad student|18-24
M|60611|6|18|doctor/health care|18-24
M|10014|8|35|farmer|35-44
F|85226|3|25|clerical/admin|25-34
F|11214|4|18|college/grad student|18-24
M|43611|20|18|writer|18-24
F|87123|10|1|K-12 student|Under 18
M|01096|1|50|academic/educator|50-55
M|78731|17|45|technician/engineer|45-49
M|77550|16|35|self-employed|35-44
M|06511|12|25|programmer|25-34
F|94086|10|1|K-12 student|Under 18
F|07701|13|56|retired|56+
M|75093|17|18|technician/engineer|18-24
M|98033|20|25|writer|25-34
F|02155|3|25|clerical/admin|25-34
M|77479|0|1|other or not specified|Under 18
M|81007|6|25|doctor/health care|25-34
F|94949|7|50|executive/managerial|50-55
F|85202|9|45|homemaker|45-49
M|72227-5733|0|56|other or not specified|56+
M|22201|4|18|college/grad student|18-24
M|60201|0|25|other or not specified|25-34
F|76201|4|18|college/grad student|18-24
F|10003|4|18|college/grad student|18-24
M|10705|0|18|other or not specified|18-24
M|94115|6|35|doctor/health care|35-44
M|45701|19|25|unemployed|25-34
M|92315|20|56|writer|56+
M|77351|7|45|executive/managerial|45-49
F|30308|3|25|clerical/admin|25-34
M|22043|11|25|lawyer|25-34
M|95136|0|25|other or not specified|25-34
M|95003|1|35|academic/educator|35-44
M|26501|7|50|executive/managerial|50-55
M|50111|7|35|executive/managerial|35-44
M|78411|16|25|self-employed|25-34
F|10013|20|35|writer|35-44
M|92683-1892|1|35|academic/educator|35-44
F|48108|5|18|customer service|18-24
M|10002|12|25|programmer|25-34
M|76548|13|35|retired|35-44
M|92646|0|25|other or not specified|25-34
M|08234|7|35|executive/managerial|35-44
M|83001|12|25|programmer|25-34
F|10562|7|25|executive/managerial|25-34
F|13326|0|25|other or not specified|25-34
M|50111|11|25|lawyer|25-34
F|28270|0|18|other or not specified|18-24
F|55405|3|35|clerical/admin|35-44
M|02135|1|45|academic/educator|45-49
M|75230|11|25|lawyer|25-34
F|06830|9|35|homemaker|35-44
M|55555|11|25|lawyer|25-34
M|03867|0|25|other or not specified|25-34
M|11354|17|25|technician/engineer|25-34
M|61801|20|18|writer|18-24
M|90027|0|35|other or not specified|35-44
F|10022|7|45|executive/managerial|45-49
M|16101|0|25|other or not specified|25-34
M|44060|12|25|programmer|25-34
M|44139|0|50|other or not specified|50-55
M|48843|3|50|clerical/admin|50-55
M|48009|20|25|writer|25-34
M|11423|4|25|college/grad student|25-34
M|53715|4|18|college/grad student|18-24
M|07746|15|50|scientist|50-55
M|06810|0|25|other or not specified|25-34
M|04330|0|45|other or not specified|45-49
M|10010|4|18|college/grad student|18-24
M|91505|17|18|technician/engineer|18-24
M|90028|20|18|writer|18-24
M|10003|4|18|college/grad student|18-24
M|91355|17|45|technician/engineer|45-49
F|94514|0|50|other or not specified|50-55
M|94120|16|25|self-employed|25-34
F|99701|7|45|executive/managerial|45-49
F|38340|0|56|other or not specified|56+
M|97212|0|25|other or not specified|25-34
F|60612|19|25|unemployed|25-34
M|90049|0|56|other or not specified|56+
F|95405|17|18|technician/engineer|18-24
M|95405|17|25|technician/engineer|25-34
M|95610|17|35|technician/engineer|35-44
M|95819|0|25|other or not specified|25-34
M|62002|13|50|retired|50-55
M|90813|2|45|artist|45-49
M|90210|12|18|programmer|18-24
F|62225|9|18|homemaker|18-24
M|90046|20|25|writer|25-34
M|98118|18|18|tradesman/craftsman|18-24
M|85202|14|50|sales/marketing|50-55
M|98034|19|18|unemployed|18-24
M|94607|19|25|unemployed|25-34
M|94520|12|25|programmer|25-34
M|98208|16|25|self-employed|25-34
M|94044|0|18|other or not specified|18-24
F|94114|0|45|other or not specified|45-49
M|94507|4|18|college/grad student|18-24
M|94122|17|25|technician/engineer|25-34
F|10022|0|45|other or not specified|45-49
F|94214|6|35|doctor/health care|35-44
F|99703|9|18|homemaker|18-24
F|94577|2|25|artist|25-34
M|80526|7|35|executive/managerial|35-44
M|94121|12|25|programmer|25-34
M|77845|4|18|college/grad student|18-24
F|76707|4|18|college/grad student|18-24
M|87505|17|45|technician/engineer|45-49
M|15241|14|25|sales/marketing|25-34
M|98516|16|50|self-employed|50-55
M|95602|2|35|artist|35-44
F|75006|17|25|technician/engineer|25-34
F|95320|13|56|retired|56+
M|98368|0|35|other or not specified|35-44
M|93933|17|25|technician/engineer|25-34
M|98043-3621|10|1|K-12 student|Under 18
M|95816|2|35|artist|35-44
F|97116|6|25|doctor/health care|25-34
M|91301|4|18|college/grad student|18-24
M|97123|14|18|sales/marketing|18-24
F|97070|17|18|technician/engineer|18-24
M|98052|12|25|programmer|25-34
M|95380|20|25|writer|25-34
M|78705|4|18|college/grad student|18-24
M|98102|2|25|artist|25-34
F|98109|7|25|executive/managerial|25-34
M|85226|3|18|clerical/admin|18-24
M|95833|12|35|programmer|35-44
M|94062|12|35|programmer|35-44
M|85013|3|25|clerical/admin|25-34
F|34243|4|18|college/grad student|18-24
M|98465|5|35|customer service|35-44
M|98029|16|35|self-employed|35-44
F|85301|17|25|technician/engineer|25-34
M|97333|20|35|writer|35-44
M|98684|12|25|programmer|25-34
M|98116|12|25|programmer|25-34
M|97206|1|25|academic/educator|25-34
M|95765|7|35|executive/managerial|35-44
F|98052|4|18|college/grad student|18-24
M|97214|2|35|artist|35-44
F|98102|19|25|unemployed|25-34
M|98119|20|25|writer|25-34
F|97233|4|25|college/grad student|25-34
M|97303|10|18|K-12 student|18-24
M|77047|15|18|scientist|18-24
M|98926|4|25|college/grad student|25-34
F|85033|4|18|college/grad student|18-24
M|19134|20|25|writer|25-34
M|95070|1|50|academic/educator|50-55
M|64106|0|25|other or not specified|25-34
M|73147|0|25|other or not specified|25-34
M|94530|0|18|other or not specified|18-24
F|30134|4|18|college/grad student|18-24
M|73003|0|25|other or not specified|25-34
M|47421|0|25|other or not specified|25-34
M|43212|17|25|technician/engineer|25-34
M|53406|16|25|self-employed|25-34
M|43229|0|25|other or not specified|25-34
F|30307|6|50|doctor/health care|50-55
M|43235|4|18|college/grad student|18-24
M|60523|16|18|self-employed|18-24
M|94720|4|18|college/grad student|18-24
M|70043|19|18|unemployed|18-24
M|72058|0|35|other or not specified|35-44
M|60103|17|35|technician/engineer|35-44
M|00961|4|18|college/grad student|18-24
M|67218|19|18|unemployed|18-24
M|60160|2|25|artist|25-34
M|50317|16|35|self-employed|35-44
M|11710-1641|4|18|college/grad student|18-24
M|53715|7|25|executive/managerial|25-34
F|60137|4|18|college/grad student|18-24
F|91601|0|18|other or not specified|18-24
M|13655|4|18|college/grad student|18-24
M|43725|14|18|sales/marketing|18-24
M|94602|17|45|technician/engineer|45-49
M|30605|20|18|writer|18-24
M|00606|8|56|farmer|56+
M|46614|20|35|writer|35-44
M|30034|16|35|self-employed|35-44
M|77079|16|56|self-employed|56+
M|96153|1|56|academic/educator|56+
M|91107|7|35|executive/managerial|35-44
M|08109|15|25|scientist|25-34
M|77566|17|35|technician/engineer|35-44
M|50325|12|35|programmer|35-44
M|94114|0|45|other or not specified|45-49
M|33157|4|25|college/grad student|25-34
M|90638|0|25|other or not specified|25-34
M|04240|1|50|academic/educator|50-55
M|10040|2|25|artist|25-34
M|10128|5|50|customer service|50-55
M|77024|20|35|writer|35-44
M|96813|3|25|clerical/admin|25-34
M|90803|6|35|doctor/health care|35-44
M|27028|19|18|unemployed|18-24
F|77005|4|18|college/grad student|18-24
F|75149|1|25|academic/educator|25-34
M|75206|4|25|college/grad student|25-34
F|33067-1400|0|25|other or not specified|25-34
M|22112|16|25|self-employed|25-34
F|90016|3|25|clerical/admin|25-34
M|72058|0|35|other or not specified|35-44
M|75230|14|25|sales/marketing|25-34
M|76248|7|35|executive/managerial|35-44
M|75149|0|18|other or not specified|18-24
M|13655|4|18|college/grad student|18-24
F|94566|0|45|other or not specified|45-49
M|75205|20|25|writer|25-34
M|75067|16|45|self-employed|45-49
M|75240|17|25|technician/engineer|25-34
M|79605|16|35|self-employed|35-44
M|75044|17|25|technician/engineer|25-34
M|90680|2|56|artist|56+
M|07030|4|18|college/grad student|18-24
M|99003|17|25|technician/engineer|25-34
M|70115|4|25|college/grad student|25-34
M|45801|0|25|other or not specified|25-34
M|17022|20|25|writer|25-34
M|94704|4|18|college/grad student|18-24
M|78133|1|18|academic/educator|18-24
M|22181|1|35|academic/educator|35-44
F|08009|0|35|other or not specified|35-44
M|23454|0|45|other or not specified|45-49
M|10027|4|18|college/grad student|18-24
M|18104|20|18|writer|18-24
M|04901|4|18|college/grad student|18-24
M|85721|1|45|academic/educator|45-49
M|90210|8|18|farmer|18-24
M|19104|2|45|artist|45-49
M|19116|10|1|K-12 student|Under 18
M|19152|0|25|other or not specified|25-34
M|19146|4|18|college/grad student|18-24
F|53523|2|25|artist|25-34
M|20008|4|25|college/grad student|25-34
M|20878|11|25|lawyer|25-34
M|20724|17|18|technician/engineer|18-24
M|20852|11|50|lawyer|50-55
M|52003|7|35|executive/managerial|35-44
M|22204|11|45|lawyer|45-49
M|70118|11|35|lawyer|35-44
M|70118|4|18|college/grad student|18-24
F|54729|6|25|doctor/health care|25-34
M|22903|4|18|college/grad student|18-24
M|50021|2|25|artist|25-34
M|22314|7|25|executive/managerial|25-34
M|22401|4|18|college/grad student|18-24
M|22032|4|18|college/grad student|18-24
M|20742|17|18|technician/engineer|18-24
F|22031|4|18|college/grad student|18-24
F|12189|14|25|sales/marketing|25-34
M|90210|13|50|retired|50-55
M|08825|2|56|artist|56+
F|48103|12|25|programmer|25-34
F|90035|6|35|doctor/health care|35-44
M|10014|7|50|executive/managerial|50-55
M|30707|1|1|academic/educator|Under 18
F|56007|9|35|homemaker|35-44
M|53706|1|35|academic/educator|35-44
M|02254|8|1|farmer|Under 18
F|45249|12|35|programmer|35-44
M|50265|20|25|writer|25-34
M|43315|20|25|writer|25-34
F|53713|0|25|other or not specified|25-34
F|92801|1|35|academic/educator|35-44
F|43560|4|18|college/grad student|18-24
M|50310|7|25|executive/managerial|25-34
M|49265|11|45|lawyer|45-49
F|07721|1|25|academic/educator|25-34
M|07030|4|18|college/grad student|18-24
M|07302|16|25|self-employed|25-34
M|12180|4|18|college/grad student|18-24
M|53190|4|18|college/grad student|18-24
F|14433|4|18|college/grad student|18-24
M|07030|17|18|technician/engineer|18-24
M|10990|5|35|customer service|35-44
M|11501|19|25|unemployed|25-34
M|10016|0|25|other or not specified|25-34
M|08817|2|25|artist|25-34
M|10011|7|35|executive/managerial|35-44
M|07940|4|18|college/grad student|18-24
M|11217|12|25|programmer|25-34
M|95037|0|18|other or not specified|18-24
M|53190|4|18|college/grad student|18-24
M|10014|12|25|programmer|25-34
F|53711|4|18|college/grad student|18-24
M|10002|2|25|artist|25-34
M|95051|12|45|programmer|45-49
M|60047|4|18|college/grad student|18-24
M|10011|5|35|customer service|35-44
M|11747|7|35|executive/managerial|35-44
M|12582|5|18|customer service|18-24
M|59602|19|25|unemployed|25-34
M|10036|12|25|programmer|25-34
M|90803|0|50|other or not specified|50-55
M|92346|0|25|other or not specified|25-34
M|93004|4|18|college/grad student|18-24
M|92065|7|56|executive/managerial|56+
M|92106|10|1|K-12 student|Under 18
F|59715|4|18|college/grad student|18-24
F|66049|4|25|college/grad student|25-34
M|94591|16|56|self-employed|56+
M|92129|16|50|self-employed|50-55
M|95129|14|50|sales/marketing|50-55
M|90048|4|18|college/grad student|18-24
M|94306|7|35|executive/managerial|35-44
F|94606|1|18|academic/educator|18-24
M|94043|7|25|executive/managerial|25-34
M|95008|7|50|executive/managerial|50-55
M|92346|11|50|lawyer|50-55
M|95148|14|45|sales/marketing|45-49
M|85248|13|56|retired|56+
F|46774|1|45|academic/educator|45-49
M|92106|20|50|writer|50-55
M|02127|7|35|executive/managerial|35-44
M|95076|7|45|executive/managerial|45-49
M|94107|12|35|programmer|35-44
M|92024|12|25|programmer|25-34
F|90069|20|45|writer|45-49
M|92846|10|1|K-12 student|Under 18
M|29732|4|25|college/grad student|25-34
M|91006|0|35|other or not specified|35-44
M|95008|2|35|artist|35-44
M|92352|16|35|self-employed|35-44
F|94521|0|50|other or not specified|50-55
M|93108|20|45|writer|45-49
M|94611|17|50|technician/engineer|50-55
M|94086|12|25|programmer|25-34
M|92119|15|56|scientist|56+
M|95124|12|35|programmer|35-44
M|80023|14|18|sales/marketing|18-24
M|94702|6|50|doctor/health care|50-55
M|91335|1|45|academic/educator|45-49
M|90066|20|25|writer|25-34
F|90024|0|35|other or not specified|35-44
F|94602|7|35|executive/managerial|35-44
M|89119|14|35|sales/marketing|35-44
M|92115|13|56|retired|56+
F|94530|2|50|artist|50-55
M|91101|12|25|programmer|25-34
F|02135|6|45|doctor/health care|45-49
M|94109|12|56|programmer|56+
M|94024|7|50|executive/managerial|50-55
M|93536|19|25|unemployed|25-34
M|90401|0|35|other or not specified|35-44
M|30115|1|18|academic/educator|18-24
F|94118|20|35|writer|35-44
F|91311|5|25|customer service|25-34
M|94804|17|35|technician/engineer|35-44
M|95129|13|56|retired|56+
M|89146|4|18|college/grad student|18-24
M|94707|10|1|K-12 student|Under 18
F|92805|4|18|college/grad student|18-24
M|91325|4|25|college/grad student|25-34
M|95126|17|25|technician/engineer|25-34
F|95051|14|35|sales/marketing|35-44
M|01938|13|50|retired|50-55
M|90405|7|45|executive/managerial|45-49
M|92704|10|18|K-12 student|18-24
F|95209|6|45|doctor/health care|45-49
M|94525|0|1|other or not specified|Under 18
F|80122|7|35|executive/managerial|35-44
M|92780|12|56|programmer|56+
F|94303|7|25|executive/managerial|25-34
M|90026|7|35|executive/managerial|35-44
F|90630|6|56|doctor/health care|56+
M|92886|7|50|executive/managerial|50-55
F|95404|0|1|other or not specified|Under 18
M|94806|7|35|executive/managerial|35-44
M|94501|10|1|K-12 student|Under 18
F|91107|10|1|K-12 student|Under 18
M|94550|15|25|scientist|25-34
M|94114|2|25|artist|25-34
M|94114|7|25|executive/managerial|25-34
M|94703|19|18|unemployed|18-24
M|95014|17|25|technician/engineer|25-34
M|90405|10|1|K-12 student|Under 18
M|90026|0|35|other or not specified|35-44
M|92335|11|25|lawyer|25-34
F|91351|2|25|artist|25-34
F|94930|2|35|artist|35-44
M|95158|12|25|programmer|25-34
M|94550|17|35|technician/engineer|35-44
M|04901|5|35|customer service|35-44
M|91501|4|18|college/grad student|18-24
F|93107|4|18|college/grad student|18-24
M|92866|20|25|writer|25-34
M|94110|14|25|sales/marketing|25-34
M|94041|7|25|executive/managerial|25-34
M|93111|10|1|K-12 student|Under 18
M|92595|17|18|technician/engineer|18-24
M|49024|12|25|programmer|25-34
F|90630|4|18|college/grad student|18-24
M|91030|1|35|academic/educator|35-44
F|94566|2|25|artist|25-34
M|91402|16|25|self-employed|25-34
M|03109|19|1|unemployed|Under 18
M|44280|0|35|other or not specified|35-44
F|23185|4|18|college/grad student|18-24
F|17055|1|25|academic/educator|25-34
F|53092|13|50|retired|50-55
M|55555|7|45|executive/managerial|45-49
F|91911|3|50|clerical/admin|50-55
F|60914|1|18|academic/educator|18-24
F|91941|9|50|homemaker|50-55
F|89523|6|25|doctor/health care|25-34
M|48304|17|56|technician/engineer|56+
M|93637|20|25|writer|25-34
M|92116|7|50|executive/managerial|50-55
M|85258|11|25|lawyer|25-34
F|92116|3|25|clerical/admin|25-34
M|89052|13|50|retired|50-55
F|80230|14|25|sales/marketing|25-34
M|92111|17|45|technician/engineer|45-49
M|22903|1|25|academic/educator|25-34
M|12159|17|35|technician/engineer|35-44
M|97361|4|18|college/grad student|18-24
M|58703|5|35|customer service|35-44
M|02726|6|56|doctor/health care|56+
M|43357|10|1|K-12 student|Under 18
M|49506|17|56|technician/engineer|56+
M|06460|7|35|executive/managerial|35-44
M|80303|1|56|academic/educator|56+
M|80540|10|1|K-12 student|Under 18
M|92109|14|25|sales/marketing|25-34
M|92130|10|18|K-12 student|18-24
M|92122|12|45|programmer|45-49
M|91977|13|50|retired|50-55
M|62629|17|25|technician/engineer|25-34
F|85224|1|25|academic/educator|25-34
M|02090|6|50|doctor/health care|50-55
M|85257|7|25|executive/managerial|25-34
M|48309|20|25|writer|25-34
M|85259|4|18|college/grad student|18-24
M|99508|17|35|technician/engineer|35-44
M|89012|2|35|artist|35-44
M|85364|1|25|academic/educator|25-34
M|85621|0|35|other or not specified|35-44
M|84108|0|25|other or not specified|25-34
F|24018|9|50|homemaker|50-55
F|02113|3|35|clerical/admin|35-44
M|44685|4|18|college/grad student|18-24
M|48197|1|50|academic/educator|50-55
F|02136-1522|13|56|retired|56+
M|80014|10|1|K-12 student|Under 18
M|53572|19|45|unemployed|45-49
M|58601|4|18|college/grad student|18-24
M|66048|0|35|other or not specified|35-44
M|80442|16|50|self-employed|50-55
M|48220|3|25|clerical/admin|25-34
F|60625|7|35|executive/managerial|35-44
M|81520|4|18|college/grad student|18-24
F|01545|3|35|clerical/admin|35-44
M|49456|4|25|college/grad student|25-34
